Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Middeltemperatur (døgn);Minimumstemperatur (døgn)
Trondheim - Risvollan;SN68230;01.02.2020;-;2,5;-
Trondheim - Risvollan;SN68230;02.02.2020;-;1,4;-
Trondheim - Risvollan;SN68230;03.02.2020;-;-2;-
Trondheim - Risvollan;SN68230;04.02.2020;-;-2,3;-
Trondheim - Risvollan;SN68230;05.02.2020;-;1,2;-
Trondheim - Risvollan;SN68230;06.02.2020;-;-0,1;-
Trondheim - Risvollan;SN68230;07.02.2020;-;1,2;-
Trondheim - Risvollan;SN68230;08.02.2020;-;0,3;-
Trondheim - Risvollan;SN68230;09.02.2020;-;4,8;-
Trondheim - Risvollan;SN68230;10.02.2020;-;2,6;-
Trondheim - Risvollan;SN68230;11.02.2020;-;0;-
Trondheim - Risvollan;SN68230;12.02.2020;-;0,1;-
Trondheim - Risvollan;SN68230;13.02.2020;-;0,2;-
Trondheim - Risvollan;SN68230;14.02.2020;-;-2,2;-
Trondheim - Risvollan;SN68230;15.02.2020;-;3,6;-
Trondheim - Risvollan;SN68230;16.02.2020;-;3,9;-
Trondheim - Risvollan;SN68230;17.02.2020;-;4,6;-
Trondheim - Risvollan;SN68230;18.02.2020;-;2;-
Trondheim - Risvollan;SN68230;19.02.2020;-;-0,2;-
Trondheim - Risvollan;SN68230;20.02.2020;-;2,3;-
Trondheim - Risvollan;SN68230;21.02.2020;-;2,9;-
Trondheim - Risvollan;SN68230;22.02.2020;-;2,1;-
Trondheim - Risvollan;SN68230;23.02.2020;-;0,6;-
Trondheim - Risvollan;SN68230;24.02.2020;-;-1;-
Trondheim - Risvollan;SN68230;25.02.2020;-;-5,6;-
Trondheim - Risvollan;SN68230;26.02.2020;-;-10;-
Trondheim - Risvollan;SN68230;27.02.2020;-;-5,6;-
Trondheim - Risvollan;SN68230;28.02.2020;-;-5,5;-
Trondheim - Risvollan;SN68230;29.02.2020;-;-3;-
Trondheim - Risvollan;SN68230;01.03.2020;-;-3,8;-
Trondheim - Risvollan;SN68230;02.03.2020;-;-1,3;-
Trondheim - Risvollan;SN68230;03.03.2020;-;-0,5;-
Trondheim - Risvollan;SN68230;04.03.2020;-;0,2;-
Trondheim - Risvollan;SN68230;05.03.2020;-;0,5;-
Trondheim - Risvollan;SN68230;06.03.2020;-;1,7;-
Trondheim - Risvollan;SN68230;07.03.2020;-;0;-
Trondheim - Risvollan;SN68230;08.03.2020;-;5;-
Trondheim - Risvollan;SN68230;09.03.2020;-;3,7;-
Trondheim - Risvollan;SN68230;10.03.2020;-;2,8;-
Trondheim - Risvollan;SN68230;11.03.2020;-;4;-
Trondheim - Risvollan;SN68230;12.03.2020;-;1;-
Trondheim - Risvollan;SN68230;13.03.2020;-;-3;-
Trondheim - Risvollan;SN68230;14.03.2020;-;-2,4;-
Trondheim - Risvollan;SN68230;15.03.2020;-;3,6;-
Trondheim - Risvollan;SN68230;16.03.2020;-;1,7;-
Trondheim - Risvollan;SN68230;17.03.2020;-;4,4;-
Trondheim - Risvollan;SN68230;18.03.2020;-;2,5;-
Trondheim - Risvollan;SN68230;19.03.2020;-;1,6;-
Trondheim - Risvollan;SN68230;20.03.2020;-;-1;-
Trondheim - Risvollan;SN68230;21.03.2020;-;-0,6;-
Trondheim - Risvollan;SN68230;22.03.2020;-;0,2;-
Trondheim - Risvollan;SN68230;23.03.2020;-;5,6;-
Trondheim - Risvollan;SN68230;24.03.2020;-;5,2;-
Trondheim - Risvollan;SN68230;25.03.2020;-;3,4;-
Trondheim - Risvollan;SN68230;26.03.2020;-;4,1;-
Trondheim - Risvollan;SN68230;27.03.2020;-;3,9;-
Trondheim - Risvollan;SN68230;28.03.2020;-;-1;-
Trondheim - Risvollan;SN68230;29.03.2020;-;-0,9;-
Trondheim - Risvollan;SN68230;30.03.2020;-;-0,1;-
Trondheim - Risvollan;SN68230;31.03.2020;-;3,3;-
Trondheim - Risvollan;SN68230;01.04.2020;-;2,4;-
Trondheim - Risvollan;SN68230;02.04.2020;-;0,6;-
Trondheim - Risvollan;SN68230;03.04.2020;-;-1,4;-
Trondheim - Risvollan;SN68230;04.04.2020;-;-1,8;-
Trondheim - Risvollan;SN68230;05.04.2020;-;-0,7;-
Trondheim - Risvollan;SN68230;06.04.2020;-;7,8;-
Trondheim - Risvollan;SN68230;07.04.2020;-;7,6;-
Trondheim - Risvollan;SN68230;08.04.2020;-;4,6;-
Trondheim - Risvollan;SN68230;09.04.2020;-;2,3;-
Trondheim - Risvollan;SN68230;10.04.2020;-;0,7;-
Trondheim - Risvollan;SN68230;11.04.2020;-;3,8;-
Trondheim - Risvollan;SN68230;12.04.2020;-;3;-
Trondheim - Risvollan;SN68230;13.04.2020;-;0,3;-
Trondheim - Risvollan;SN68230;14.04.2020;-;2,6;-
Trondheim - Risvollan;SN68230;15.04.2020;-;3,4;-
Trondheim - Risvollan;SN68230;16.04.2020;-;2,2;-
Trondheim - Risvollan;SN68230;17.04.2020;-;3,2;-
Trondheim - Risvollan;SN68230;18.04.2020;-;3,5;-
Trondheim - Risvollan;SN68230;19.04.2020;-;5,9;-
Trondheim - Risvollan;SN68230;20.04.2020;-;5,7;-
Trondheim - Risvollan;SN68230;21.04.2020;-;6,7;-
Trondheim - Risvollan;SN68230;22.04.2020;-;8,1;-
Trondheim - Risvollan;SN68230;23.04.2020;-;4;-
Trondheim - Risvollan;SN68230;24.04.2020;-;4,9;-
Trondheim - Risvollan;SN68230;25.04.2020;-;4,3;-
Trondheim - Risvollan;SN68230;26.04.2020;-;4,2;-
Trondheim - Risvollan;SN68230;27.04.2020;-;5,7;-
Trondheim - Risvollan;SN68230;28.04.2020;-;5,9;-
Trondheim - Risvollan;SN68230;29.04.2020;-;6,3;-
Trondheim - Risvollan;SN68230;30.04.2020;-;6,9;-
Trondheim - Risvollan;SN68230;01.05.2020;-;7;-
Trondheim - Risvollan;SN68230;02.05.2020;-;6,1;-
Trondheim - Risvollan;SN68230;03.05.2020;-;4,1;-
Trondheim - Risvollan;SN68230;04.05.2020;-;3,8;-
Trondheim - Risvollan;SN68230;05.05.2020;-;5,5;-
Trondheim - Risvollan;SN68230;06.05.2020;-;5,1;-
Trondheim - Risvollan;SN68230;07.05.2020;-;5,2;-
Trondheim - Risvollan;SN68230;08.05.2020;-;4,6;-
Trondheim - Risvollan;SN68230;09.05.2020;-;4,3;-
Trondheim - Risvollan;SN68230;10.05.2020;-;1,4;-
Trondheim - Risvollan;SN68230;11.05.2020;-;0,9;-
Trondheim - Risvollan;SN68230;12.05.2020;-;1,5;-
Trondheim - Risvollan;SN68230;13.05.2020;-;0,9;-
Trondheim - Risvollan;SN68230;14.05.2020;-;1,2;-
Trondheim - Risvollan;SN68230;15.05.2020;-;1,5;-
Trondheim - Risvollan;SN68230;16.05.2020;-;3,4;-
Trondheim - Risvollan;SN68230;17.05.2020;-;4,9;-
Trondheim - Risvollan;SN68230;18.05.2020;-;3,9;-
Trondheim - Risvollan;SN68230;19.05.2020;-;4,7;-
Trondheim - Risvollan;SN68230;20.05.2020;-;6,2;-
Trondheim - Risvollan;SN68230;21.05.2020;-;8,9;-
Trondheim - Risvollan;SN68230;22.05.2020;-;12,5;-
Trondheim - Risvollan;SN68230;23.05.2020;-;13,5;-
Trondheim - Risvollan;SN68230;24.05.2020;-;13;-
Trondheim - Risvollan;SN68230;25.05.2020;-;11,2;-
